index,Date,Price,Open,High,Low,Vol.,Change %,post_covid_event,vol_surge_event,price_smooth,price_change
2734,2014-01-01,110.1,110.0,110.7,109.9,450.0,0.64%,0,0,,0.64
2733,2014-01-02,111.2,110.55,112.2,110.45,4720.0,1.00%,0,0,,1.0
2732,2014-01-03,109.2,110.9,111.1,109.05,4520.0,-1.80%,0,0,,-1.8
2731,2014-01-06,109.65,109.5,109.75,108.1,3960.0,0.41%,0,0,,0.41
2730,2014-01-07,109.3,109.3,109.75,108.85,3110.0,-0.32%,0,0,109.89,-0.32
2729,2014-01-08,108.75,109.35,109.5,108.6,3130.0,-0.50%,0,0,109.62,-0.5
2728,2014-01-09,107.0,108.75,108.75,106.9,4200.0,-1.61%,0,0,108.78,-1.61
2727,2014-01-10,106.95,107.05,107.65,106.5,5480.0,-0.05%,0,0,108.33,-0.05
2726,2014-01-13,107.4,107.25,107.6,106.2,5430.0,0.42%,0,0,107.88000000000002,0.42
2725,2014-01-14,106.5,107.45,107.45,106.3,3260.0,-0.84%,0,0,107.32,-0.84
2724,2014-01-15,107.8,106.4,108.35,106.05,5530.0,1.22%,0,0,107.13,1.22
2723,2014-01-16,108.4,108.05,109.3,107.8,5520.0,0.56%,0,0,107.41,0.56
2722,2014-01-17,110.2,108.3,110.35,107.85,5760.0,1.66%,0,0,108.06,1.66
2721,2014-01-20,108.95,110.05,110.2,108.85,3340.0,-1.13%,0,0,108.37,-1.13
2720,2014-01-21,109.3,108.85,109.75,108.1,5340.0,0.32%,0,0,108.93,0.32
2719,2014-01-22,107.9,109.5,109.75,107.8,3890.0,-1.28%,0,0,108.95,-1.28
2718,2014-01-23,107.5,108.0,108.25,107.05,4790.0,-0.37%,0,0,108.77,-0.37
2717,2014-01-24,108.05,107.55,108.7,107.15,3460.0,0.51%,0,0,108.34,0.51
2716,2014-01-27,108.95,108.3,109.05,107.55,2920.0,0.83%,0,0,108.34,0.83
2715,2014-01-28,107.7,108.35,108.65,107.2,3120.0,-1.15%,0,0,108.02,-1.15
2714,2014-01-29,107.15,107.2,107.75,106.6,2880.0,-0.51%,0,0,107.87,-0.51
2713,2014-01-30,105.3,107.0,107.15,105.1,4600.0,-1.73%,0,0,107.43,-1.73
